study_hours,attendance,previous_score,pass
3.745401188473625,89,93,0
9.50714306409916,56,55,0
7.319939418114051,81,47,0
5.986584841970366,97,63,1
1.5601864044243652,68,52,0
1.5599452033620265,55,68,0
0.5808361216819946,69,71,0
8.661761457749352,76,63,1
6.011150117432088,92,55,0
7.080725777960454,86,50,0
0.20584494295802447,97,71,0
9.699098521619943,56,45,0
8.324426408004218,54,98,0
2.1233911067827616,60,74,0
1.8182496720710062,64,72,0
1.8340450985343382,52,57,0
3.0424224295953772,54,76,0
5.247564316322379,72,52,0
4.319450186421157,86,49,0
2.9122914019804194,58,76,0
6.118528947223795,64,65,0
1.3949386065204183,52,85,0
2.9214464853521815,78,56,0
3.663618432936917,55,40,0
4.56069984217036,66,64,0
7.851759613930136,75,73,1
1.9967378215835974,70,78,0
5.142344384136116,57,49,0
5.924145688620425,70,59,0
0.46450412719997725,60,46,0
6.075448519014383,87,95,1
1.7052412368729153,57,55,0
0.6505159298527952,91,76,0
9.488855372533333,73,68,1
9.656320330745594,84,99,1
8.08397348116461,63,51,0
3.0461376917337066,63,56,0
0.9767211400638387,59,87,0
6.842330265121569,61,59,0
4.4015249373960135,87,65,0
1.2203823484477883,93,87,0
4.951769101112702,95,58,0
0.34388521115218396,83,97,0
9.093204020787821,90,86,1
2.587799816000169,59,51,0
6.62522284353982,66,60,0
3.1171107608941098,66,81,0
5.200680211778108,52,97,0
5.4671027934327965,80,93,1
1.8485445552552704,50,73,0
9.695846277645586,61,46,0
7.7513282336111455,88,84,1
9.394989415641891,53,74,0
8.948273504276488,91,54,0
5.978999788110851,62,40,0
9.218742350231167,83,65,1
0.884925020519195,91,74,0
1.959828624191452,70,64,0
0.45227288910538066,71,81,0
3.2533033076326436,53,98,0
3.8867728968948203,67,98,0
2.713490317738959,54,54,0
8.287375091519294,68,61,0
3.567533266935893,51,98,0
2.8093450968738076,61,45,0
5.426960831582485,66,91,0
1.4092422497476265,59,54,0
8.021969807540398,83,63,1
0.7455064367977082,55,60,0
9.868869366005173,57,46,0
7.722447692966574,60,96,0
1.987156815341724,61,68,0
0.05522117123602399,58,71,0
8.154614284548341,51,71,0
7.068573438476172,57,92,0
